ID,Latitude,Longitude,State
0,40.82338729100008,-73.87017045,NY
1,40.87669883700005,-73.90852293799998,NY
2,40.90409529500005,-73.84985952299998,NY
3,40.59368532700007,-73.75907037999998,NY
4,40.670366460000025,-73.91284696199995,NY
5,40.813384453000026,-73.95627096599996,NY
6,40.67824325500004,-73.89550970099998,NY
7,40.83883070900004,-73.94360531399997,NY
8,40.87144920400005,-73.867158697,NY
9,40.86350728100007,-73.90446299999998,NY
10,40.689615497000034,-73.92439311199999,NY
11,40.86436863500006,-73.86544107799993,NY
12,40.82741405100006,-73.87794577499993,NY
13,40.792411505000075,-73.97242796299997,NY
14,40.67317201400005,-73.93904085499997,NY
15,40.74376638800004,-73.98797324599997,NY
16,40.90238579800007,-73.84809807399995,NY
17,40.79896399800003,-73.95031371999994,NY
18,40.83883070900004,-73.94360531399997,NY
19,40.67547459000008,-73.93849437599994,NY
20,40.65844352300008,-73.90979175299998,NY
21,40.80550434700007,-73.91647725199994,NY
22,40.816366145000075,-73.86762631099998,NY
23,40.66972146500007,-73.87684288099996,NY
24,40.80330628300004,-73.95060666799998,NY
25,40.67043192700004,-73.91983669099994,NY
26,40.62851560000007,-73.94138369799998,NY
27,40.64802513400008,-73.90401117799998,NY
28,40.86413608500004,-73.91918020999998,NY
29,40.64971987400003,-73.96312802699998,NY
30,40.70758131700006,-73.94067936799998,NY
31,40.79037824500005,-73.94976759099995,NY
32,40.829362650000064,-73.91435510699995,NY
33,40.85358740100002,-73.90059135599995,NY
34,40.71368588400002,-73.73575249799995,NY
35,40.81915052700003,-73.93718378399994,NY
36,40.833217042000065,-73.92755451499994,NY
37,40.67459999000005,-73.93057482199998,NY
38,40.723392998000065,-73.97625544299996,NY
39,40.69980031700004,-73.98373278599996,NY
40,40.815946755000034,-73.90762016499998,NY
41,40.80518856100008,-73.94921820399995,NY
42,40.84460257800004,-73.88166226199995,NY
43,40.88170569400006,-73.86210791199994,NY
44,40.723280139000046,-73.99746883299997,NY
45,40.83690971600004,-73.89057331199997,NY
46,40.844139945000045,-73.90038861799998,NY
47,40.644981504000036,-74.07732129999994,NY
48,40.64946851600007,-73.958482969,NY
49,40.82286114200008,-73.91916530199995,NY
50,40.812583588000045,-73.95092852499994,NY
51,40.827285732000064,-73.90490886099997,NY
52,40.81039601900005,-73.92531074499993,NY
53,40.664606373000034,-73.95239629299994,NY
54,40.80333839900004,-73.94872837599996,NY
55,40.68699927500006,-73.93734432899998,NY
56,40.655718343000046,-73.94525938899994,NY
57,40.670366460000025,-73.91284696199995,NY
58,40.66428001100008,-73.89193786299995,NY
59,40.816670440000046,-73.88799816499993,NY
60,40.667297692000034,-73.90916337699997,NY
61,40.66420209300003,-73.76442433099999,NY
62,40.79482480100006,-73.93861886799993,NY
63,40.86446897800005,-73.92030780199997,NY
64,40.78934789300007,-73.94735241299998,NY
65,40.58734650400004,-73.81304853899995,NY
66,40.81608766100004,-73.89582435399994,NY
67,40.84727715500002,-73.91044290599996,NY
68,40.662978162000066,-73.93451216499993,NY
69,40.83855090900005,-73.90939937399997,NY
70,40.680048726000045,-73.77590919399995,NY
71,40.66304320600005,-73.90565842999997,NY
72,40.683337350000045,-73.93661584299997,NY
73,40.67511061700003,-73.96826208299996,NY
