ZipCode,Median_Household_Income,Year
10001,90129.90535,2018
10002,36508.68983,2018
10003,114162.5784,2018
10004,160501.1966,2018
10005,176473.4302,2018
10006,179443.2802,2018
10007,251284.7336,2018
10009,62663.12061,2018
10010,120059.5173,2018
10011,130943.1977,2018
10012,111012.5216,2018
10013,107352.3878,2018
10014,128894.7445,2018
10016,119123.867,2018
10017,129816.1412,2018
10018,110887.2931,2018
10019,100623.6466,2018
10021,120432.1485,2018
10022,137815.4935,2018
10023,132815.5165,2018
10024,134053.5479,2018
10025,87486.87128,2018
10026,59950.85452,2018
10027,46948.4708,2018
10028,127407.2742,2018
10029,34632.29854,2018
10030,37906.56571,2018
10031,50794.92023,2018
10032,51303.97918,2018
10033,59675.96268,2018
10034,55707.3391,2018
10035,30626.0046,2018
10036,93601.6874,2018
10037,45857.0484,2018
10038,87617.19037,2018
10039,40371.42915,2018
10040,47991.02353,2018
10044,102260.7802,2018
10065,129682.7677,2018
10069,112629.2929,2018
10075,139630.7977,2018
10128,116075.622,2018
10280,172921.2169,2018
10282,254530.4935,2018
10301,56813.01514,2018
10302,65264.41184,2018
10303,63691.41969,2018
10304,53144.73634,2018
10305,77874.82017,2018
10306,81010.62331,2018
10307,82358.61141,2018
10308,95665.41239,2018
10309,105044.3145,2018
10310,73399.17388,2018
10312,96786.36019,2018
10314,88313.58302,2018
10451,29444.98783,2018
10452,28789.3199,2018
10453,25732.92996,2018
10454,21532.1755,2018
10455,27286.57788,2018
10456,27597.10384,2018
10457,27916.79286,2018
10458,34546.77664,2018
10459,28188.63034,2018
10460,27352.75554,2018
10461,57637.69064,2018
10462,53358.5411,2018
10463,59611.82125,2018
10464,95056.57788,2018
10465,76151.14657,2018
10466,52409.65522,2018
10467,37685.63413,2018
10468,36699.07788,2018
10469,64805.24067,2018
10470,58195.61925,2018
10471,87259.83099,2018
10472,31538.23824,2018
10473,42392.39319,2018
10474,25954.87966,2018
10475,51752.96917,2018
11001,110402.669,2018
11004,94335.75041,2018
11005,64134.30097,2018
11040,126631.4684,2018
11096,57948.2166,2018
11101,66576.76582,2018
11102,65227.7596,2018
11103,72731.28853,2018
11104,62379.06571,2018
11105,75298.98188,2018
11106,64857.16468,2018
11109,151282.139,2018
11201,127260.6652,2018
11203,52206.03164,2018
11204,50686.99973,2018
11205,57735.42996,2018
11206,37063.56409,2018
11207,37917.76501,2018
11208,41470.99648,2018
11209,73624.17793,2018
11210,67093.96971,2018
11211,72515.44754,2018
11212,26714.39562,2018
11213,42465.69767,2018
11214,55020.10952,2018
11215,125822.0646,2018
11216,62228.38426,2018
11217,109307.1741,2018
11218,70672.65414,2018
11219,40006.94294,2018
11220,47931.97269,2018
11221,51061.66712,2018
11222,86653.03272,2018
11223,51015.85181,2018
11224,33731.2642,2018
11225,56874.10222,2018
11226,52995.07301,2018
11228,69141.40481,2018
11229,61975.89102,2018
11230,50438.57896,2018
11231,102028.6493,2018
11232,57687.57842,2018
11233,41181.851,2018
11234,82873.77907,2018
11235,53489.87831,2018
11236,68895.02028,2018
11237,52344.49567,2018
11238,86954.39562,2018
11239,27595.0676,2018
11354,43270.01082,2018
11355,39917.34857,2018
11356,61589.00622,2018
11357,85472.01595,2018
11358,67327.11871,2018
11360,87735.29205,2018
11361,87443.09221,2018
11362,90800.84505,2018
11363,106690.6111,2018
11364,78382.86101,2018
11365,67687.53245,2018
11366,80421.13304,2018
11367,58982.62439,2018
11368,51717.33505,2018
11369,55101.55895,2018
11370,66277.43916,2018
11372,57404.54164,2018
11373,52110.32856,2018
11374,64305.34478,2018
11375,82001.25203,2018
11377,58042.90157,2018
11378,74661.64008,2018
11379,84319.50649,2018
11385,73570.21769,2018
11411,95582.94484,2018
11412,79939.56328,2018
11413,87888.00973,2018
11414,72946.11141,2018
11415,69531.34397,2018
11416,68683.25176,2018
11417,74754.2888,2018
11418,67776.10871,2018
11419,72166.2331,2018
11420,69162.78529,2018
11421,73371.68469,2018
11422,90851.75095,2018
11423,71539.07247,2018
11426,90411.92401,2018
11427,75932.25122,2018
11428,75034.27123,2018
11429,84748.13413,2018
11432,56918.89941,2018
11433,52454.45241,2018
11434,63334.0603,2018
11435,65247.10384,2018
11436,76605.22715,2018
11691,46983.0868,2018
11692,44821.6225,2018
11693,60507.76501,2018
11694,82443.1152,2018
11697,105456.6522,2018
