ZipCode,Median_Household_Income,Year
10001,92840,2019
10002,36982,2019
10003,118161,2019
10004,190223,2019
10005,189702,2019
10006,179044,2019
10007,224063,2019
10009,63717,2019
10010,132988,2019
10011,138272,2019
10012,106467,2019
10013,113191,2019
10014,133501,2019
10016,126628,2019
10017,131045,2019
10018,122484,2019
10019,103792,2019
10021,122169,2019
10022,150718,2019
10023,132605,2019
10024,143623,2019
10025,91624,2019
10026,59691,2019
10027,51938,2019
10028,122969,2019
10029,33720,2019
10030,42348,2019
10031,53660,2019
10032,53525,2019
10033,63093,2019
10034,54406,2019
10035,29799,2019
10036,95301,2019
10037,46263,2019
10038,95702,2019
10039,42278,2019
10040,49677,2019
10044,104808,2019
10065,148441,2019
10069,132500,2019
10075,138640,2019
10128,121829,2019
10280,182760,2019
10282,250001,2019
10301,62052,2019
10302,66096,2019
10303,67215,2019
10304,54199,2019
10305,79742,2019
10306,80834,2019
10307,85103,2019
10308,103027,2019
10309,109457,2019
10310,76075,2019
10312,97407,2019
10314,91505,2019
10451,30349,2019
10452,29579,2019
10453,29136,2019
10454,21447,2019
10455,28585,2019
10456,27917,2019
10457,29767,2019
10458,35423,2019
10459,29284,2019
10460,27545,2019
10461,58305,2019
10462,54278,2019
10463,58408,2019
10464,96366,2019
10465,75617,2019
10466,58393,2019
10467,39372,2019
10468,37804,2019
10469,65399,2019
10470,61266,2019
10471,88722,2019
10472,33498,2019
10473,41508,2019
10474,22965,2019
10475,51951,2019
11001,113300,2019
11004,95436,2019
11005,55313,2019
11040,129344,2019
11096,60675,2019
11101,75581,2019
11102,71382,2019
11103,76234,2019
11104,67751,2019
11105,79883,2019
11106,68530,2019
11109,160625,2019
11201,129248,2019
11203,54457,2019
11204,53093,2019
11205,58872,2019
11206,39753,2019
11207,39382,2019
11208,42403,2019
11209,77917,2019
11210,69385,2019
11211,81228,2019
11212,26521,2019
11213,44831,2019
11214,56911,2019
11215,132091,2019
11216,67795,2019
11217,119375,2019
11218,73470,2019
11219,40683,2019
11220,50191,2019
11221,56900,2019
11222,93488,2019
11223,54023,2019
11224,32549,2019
11225,59820,2019
11226,58257,2019
11228,72902,2019
11229,64631,2019
11230,53070,2019
11231,99643,2019
11232,61200,2019
11233,44905,2019
11234,85807,2019
11235,54646,2019
11236,70793,2019
11237,53303,2019
11238,91846,2019
11239,29172,2019
11354,40786,2019
11355,42507,2019
11356,61859,2019
11357,85818,2019
11358,68848,2019
11360,83063,2019
11361,87892,2019
11362,93333,2019
11363,101019,2019
11364,82028,2019
11365,67642,2019
11366,84301,2019
11367,63546,2019
11368,54211,2019
11369,54184,2019
11370,63706,2019
11372,60659,2019
11373,54584,2019
11374,66795,2019
11375,84713,2019
11377,58948,2019
11378,77710,2019
11379,83883,2019
11385,75340,2019
11411,98207,2019
11412,81608,2019
11413,93432,2019
11414,75471,2019
11415,70900,2019
11416,73370,2019
11417,76868,2019
11418,68920,2019
11419,75835,2019
11420,79273,2019
11421,73107,2019
11422,88130,2019
11423,71194,2019
11426,98987,2019
11427,79385,2019
11428,78368,2019
11429,88300,2019
11432,62148,2019
11433,54253,2019
11434,64087,2019
11435,66137,2019
11436,75222,2019
11691,50267,2019
11692,46819,2019
11693,60569,2019
11694,84485,2019
11697,105750,2019
