index,Latitude_y,Longitude_y,State,Zipcode,,,,
0,40.6978053080001,-73.808140717,NY,11435,,,,
1,40.8186997300001,-73.9185706179999,NY,10451,,,,
2,40.7919160910001,-73.94547966,NY,10029,,,,
3,40.6380639820001,-74.1661083019999,NY,10303,,,,
4,40.854547349,-73.913339444,NY,10453,,,,
5,40.679827016,-73.908425239,NY,11233,,,,
6,40.6875655630001,-73.9389519759999,NY,11221,,,,
7,40.644651706,-73.9262061539999,NY,11203,,,,
8,40.756275434,-73.945014329,NY,11101,,,,
9,40.6492934620001,-73.8979118679999,NY,11236,,,,
10,40.8606555530001,-73.895006204,NY,10458,,,,
11,40.820790453,-73.913759155,NY,10451,,,,
12,40.643411912,-73.9275407809999,NY,11203,,,,
13,40.603274007,-73.7531045329999,NY,11691,,,,
14,40.6344114670001,-74.118962299,NY,10310,,,,
15,40.65388611,-73.954497844,NY,11226,,,,
16,40.8186997300001,-73.9185706179999,NY,10451,,,,
17,40.654492401,-73.886533307,NY,11207,,,,
18,40.686815165,-73.919369885,NY,11221,,,,
19,40.6525727600001,-73.951219199,NY,11226,,,,
20,40.6894726520001,-73.749799679,NY,11412,,,,
21,40.6780075770001,-73.973055705,NY,11217,,,,
22,40.6656747000001,-73.866155503,NY,11208,,,,
23,40.741748484,-73.7020475209999,NY,11040,,,,
24,40.851438118,-73.9178003769999,NY,10453,,,,
25,40.842625153,-73.8520583439999,NY,10461,,,,
26,40.8626812920001,-73.86599763,NY,10467,,,,
27,40.858373133,-73.899402084,NY,10457-2919,,,,
28,40.6765519190001,-73.750587218,NY,11413,,,,
29,40.5940190590001,-73.960854316,NY,11223,,,,
30,40.8426463260001,-73.8936829209999,NY,10458,,,,
31,40.8732445910001,-73.841359607,NY,10469,,,,
32,40.651206776,-73.941425027,NY,11203,,,,
33,40.800334261,-73.9456569719999,NY,10029,,,,
34,40.8302116020001,-73.911820942,NY,10456,,,,
35,40.8545109900001,-73.8929192999999,NY,10457,,,,
36,40.6791882520001,-73.920540022,NY,11233,,,,
37,40.8593811590001,-73.90679705,NY,10453,,,,
38,40.6965921150001,-73.783390715,NY,11422,,,,
39,40.6664938260001,-73.88779254,NY,11207,,,,
40,40.6676298730001,-73.8962544779999,NY,11207,,,,
41,40.62471527,-74.162814915,NY,10303,,,,
42,40.7970885840001,-73.9427485799999,NY,10029,,,,
43,40.7554430050001,-73.943423246,NY,11101,,,,
44,40.861820186,-73.924146734,NY,10034,,,,
45,40.6623216990001,-73.9386542839999,NY,11203,,,,
46,40.669050105,-73.870359116,NY,11208,,,,
47,40.665533773,-73.8942427709999,NY,11207,,,,
48,40.6336778950001,-73.8943545019999,NY,11236,,,,
49,40.8635072810001,-73.904463,NY,10468,,,,
50,40.85590689,-73.8976959619999,NY,10457,,,,
51,40.6648658,-73.92024709,NY,11212,,,,
52,40.855377693,-73.9047277179999,NY,10453,,,,
53,40.6976186790001,-73.820045756,NY,11418,,,,
54,40.677469597,-73.898997177,NY,11207,,,,
55,40.669050105,-73.870359116,NY,11208,,,,
56,40.6201632040001,-73.927007686,NY,11234,,,,
57,40.574627929,-73.991970544,NY,11224,,,,
58,40.7894865550001,-73.950573584,NY,10029,,,,
59,40.635872566,-74.166848666,NY,10303,,,,
60,40.8531089360001,-73.9291486449999,NY,10040,,,,
61,40.634349769,-73.906329501,NY,11236,,,,
62,40.8186006600001,-73.952463176,NY,10031,,,,
63,40.6757277460001,-73.921495901,NY,11233,,,,
64,40.6675734240001,-73.9072957659999,NY,11212,,,,
65,40.69426487,-73.9328081849999,NY,11221,,,,
66,40.834823081,-73.915977885,NY,10456,,,,
67,40.5743014250001,-73.994072789,NY,11224,,,,
68,40.857790719,-73.898788413,NY,10458,,,,
69,40.66592604,-73.925465301,NY,11212,,,,
70,40.838559364,-73.896605923,NY,10457,,,,
71,40.6528940470001,-73.945438299,NY,11203,,,,
72,40.8475790030001,-73.900318408,NY,10457,,,,
73,40.8143510290001,-73.8878756249999,NY,10474,,,,
74,40.6572366130001,-73.900757798,NY,11212,,,,
75,40.694323792,-73.775634028,NY,11433,,,,
76,40.8685763490001,-73.894559826,NY,10468,,,,
77,40.695775364,-73.906528097,NY,11237,,,,
78,40.686019044,-73.766456596,NY,11434,,,,
79,40.8080446880001,-73.911102561,NY,10454,,,,
80,40.82549764,-73.951273101,NY,10031,,,,
81,40.8307989140001,-73.826948796,NY,10465,,,,
82,40.67984749,-73.939384473,NY,11216,,,,
83,40.8260995140001,-73.878118011,NY,10472,,,,
84,40.6762165710001,-73.930421721,NY,11213,,,,
85,40.695015251,-73.978093883,NY,11205,,,,
86,40.69386931,-73.962212901,NY,11205,,,,
87,40.764510215,-73.824713192,NY,11354,,,,
88,40.697443411,-73.758760343,NY,11412,,,,
89,40.857454424,-73.847542764,NY,10461,,,,
90,40.8385015390001,-73.899500797,NY,10457,,,,
91,40.786731898,-73.941132468,NY,10029,,,,
92,40.6792423360001,-73.942186366,NY,11216,,,,
93,40.8104380120001,-73.952837473,NY,10040,,,,
94,40.6957505030001,-73.9294132319999,NY,11221,,,,
95,40.812866866,-73.918104507,NY,10455,,,,
96,40.6453509340001,-73.957375653,NY,11226,,,,
97,40.8302116020001,-73.911820942,NY,10456,,,,
