INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column,ZipCode
213748379,06/01/2020,19:14:00,BROOKLYN,83,0,,False,18-24,M,BLACK,18-24,M,BLACK,1009656,181287,40.664239422,-73.908425011,POINT (-73.90842501099996 40.664239422000044),11212
213885924,06/05/2020,20:20:00,BROOKLYN,75,0,GROCERY/BODEGA,True,18-24,M,BLACK,25-44,M,BLACK,1046405,187113,40.6800487260001,-73.775909194,POINT (-73.77590919399995 40.680048726000045),11434
215871908,07/28/2020,22:45:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,False,,,,18-24,M,WHITE HISPANIC,999433,227426,40.790903138,-73.9451699109999,POINT (-73.94516991099994 40.79090313800003),10029
215254844,07/13/2020,16:12:00,BROOKLYN,73,0,,False,,,,18-24,M,BLACK,1051960,160392,40.6066648550001,-73.756149603,POINT (-73.75614960299998 40.606664855000076),11691
220072528,11/03/2020,21:20:00,BRONX,48,0,,False,,,,25-44,M,WHITE HISPANIC,1001329,187143,40.680332805,-73.9384249989999,POINT (-73.93842499899995 40.68033280500004),11216
220963165,11/24/2020,12:46:00,QUEENS,105,0,,False,25-44,M,BLACK,25-44,M,WHITE,988664,200228,40.7162634600001,-73.98407868,POINT (-73.98407867999998 40.71626346000005),10002
217212136,08/29/2020,19:00:00,BROOKLYN,75,0,,False,,,,18-24,M,BLACK,1016506,176978,40.6523898670001,-73.883754686,POINT (-73.88375468599996 40.65238986700007),11239
219402624,10/19/2020,07:03:00,BRONX,52,0,SOCIAL CLUB/POLICY LOCATI,True,,,,25-44,M,WHITE HISPANIC,1014435,248319,40.848209996,-73.890898099,POINT (-73.89089809899998 40.84820999600004),10457
219063828,10/11/2020,01:07:00,MANHATTAN,9,0,,True,<18,M,BLACK,25-44,M,BLACK,1000788,189718,40.6874016190001,-73.940369194,POINT (-73.94036919399997 40.68740161900007),11221
212726820,05/05/2020,22:31:00,BROOKLYN,77,0,,True,18-24,M,BLACK,25-44,M,BLACK,1017893,243006,40.8336148730001,-73.878425863,POINT (-73.87842586299998 40.833614873000045),10472
220718439,11/18/2020,20:54:00,BROOKLYN,67,0,,False,,,,25-44,M,BLACK,996117,172731,40.640783561,-73.957241647,POINT (-73.957241647 40.640783561000035),11226
211362503,03/21/2020,00:13:00,MANHATTAN,7,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,25-44,M,BLACK,1005514,235740,40.813710246,-73.923182807,POINT (-73.923182807 40.81371024600002),10451
221981297,12/17/2020,16:10:00,MANHATTAN,25,0,MULTI DWELL - PUBLIC HOUS,False,,,,25-44,M,BLACK,1007237,183220,40.669551686,-73.917137748,POINT (-73.91713774799997 40.669551686000034),11233
